Market,Pair,Total Quantity,Remaining Quantity,Price Per Unit,Avg Price,Fee Amount,Side,Order Type,Status,Exchnage code,Created At,Updated At
XRPINR,I-XRP_INR,2.0,0.0,70.52,70.3,0.1406,buy,limit_order,filled,I,2021-05-29 08:20:46 UTC,2021-05-29 08:20:47 UTC
VETINR,I-VET_INR,15.0,15.0,7.9,0.0,0.0,buy,limit_order,cancelled,I,2021-05-28 14:24:01 UTC,2021-05-29 08:06:16 UTC
VETINR,I-VET_INR,15.0,15.0,6.8,0.0,0.0,buy,limit_order,cancelled,I,2021-05-28 13:36:16 UTC,2021-05-29 08:06:14 UTC
MATICINR,I-MATIC_INR,2.0,0.0,140.0,140.0,0.28,buy,limit_order,filled,I,2021-05-29 01:55:45 UTC,2021-05-29 04:53:15 UTC
ADAINR,I-ADA_INR,2.0,0.0,115.0,115.0,0.23,buy,limit_order,filled,I,2021-05-28 18:29:08 UTC,2021-05-28 21:28:35 UTC
XRPINR,I-XRP_INR,2.0,0.0,68.0,68.0,0.136,buy,limit_order,filled,I,2021-05-28 18:27:59 UTC,2021-05-28 21:25:40 UTC
ETHINR,I-ETH_INR,0.0026,0.0,190000.0,190000.0,0.494,buy,limit_order,filled,I,2021-05-28 17:19:57 UTC,2021-05-28 21:02:20 UTC
ADAINR,I-ADA_INR,2.0,0.0,116.0,116.0,0.232,buy,limit_order,filled,I,2021-05-28 11:20:22 UTC,2021-05-28 11:39:28 UTC
ADAINR,I-ADA_INR,3.0,0.0,120.1,120.1,0.3603,buy,limit_order,filled,I,2021-05-28 08:21:41 UTC,2021-05-28 08:56:28 UTC
DOGEINR,I-DOGE_INR,20.0,20.0,30.11,0.0,0.0,sell,limit_order,cancelled,I,2021-05-26 09:47:50 UTC,2021-05-28 08:19:39 UTC
VETINR,I-VET_INR,15.0,0.0,9.3,9.3,0.1395,buy,limit_order,filled,I,2021-05-28 03:53:30 UTC,2021-05-28 04:32:51 UTC
HBARUSDT,B-HBAR_USDT,75.5,0.0,0.251,0.251,0.0189505,buy,limit_order,filled,B,2021-05-27 16:48:46 UTC,2021-05-27 19:28:52 UTC
HBARUSDT,B-HBAR_USDT,40.3,40.3,0.249,0.0,0.0,buy,limit_order,cancelled,B,2021-05-27 09:14:20 UTC,2021-05-27 16:48:18 UTC
USDTINR,I-USDT_INR,6.17,0.0,77.76,77.76,0.4797792,buy,limit_order,filled,I,2021-05-27 11:29:31 UTC,2021-05-27 11:29:31 UTC
USDTINR,I-USDT_INR,6.17,6.17,77.73,0.0,0.0,buy,limit_order,cancelled,I,2021-05-27 11:28:31 UTC,2021-05-27 11:29:08 UTC
VETINR,I-VET_INR,21.4,21.4,9.8,0.0,0.0,buy,limit_order,cancelled,I,2021-05-27 11:12:44 UTC,2021-05-27 11:27:08 UTC
VETINR,I-VET_INR,25.7,25.7,9.69,0.0,0.0,buy,limit_order,cancelled,I,2021-05-27 09:18:35 UTC,2021-05-27 11:27:06 UTC
VETINR,I-VET_INR,20.6,20.6,9.7,0.0,0.0,buy,limit_order,cancelled,I,2021-05-27 11:11:58 UTC,2021-05-27 11:12:18 UTC
VETINR,I-VET_INR,18.0,18.0,9.2,0.0,0.0,buy,limit_order,cancelled,I,2021-05-27 03:10:33 UTC,2021-05-27 11:11:27 UTC
VETINR,I-VET_INR,36.6,36.6,8.19,0.0,0.0,buy,limit_order,cancelled,I,2021-05-26 17:39:30 UTC,2021-05-27 09:17:48 UTC
HBARUSDT,B-HBAR_USDT,52.6,52.6,0.243,0.0,0.0,buy,limit_order,cancelled,B,2021-05-26 18:43:04 UTC,2021-05-27 09:11:55 UTC
VETINR,I-VET_INR,30.0,0.0,9.62,9.62,0.2886,buy,limit_order,filled,I,2021-05-27 03:06:35 UTC,2021-05-27 03:06:52 UTC
XRPINR,I-XRP_INR,3.0,0.0,76.7,76.7,0.2301,buy,limit_order,filled,I,2021-05-26 17:33:47 UTC,2021-05-26 19:27:57 UTC
VETINR,I-VET_INR,15.6,15.6,9.6,0.0,0.0,buy,limit_order,cancelled,I,2021-05-26 15:43:08 UTC,2021-05-26 17:41:40 UTC
USDTINR,I-USDT_INR,7.68,0.0,78.09,78.09,0.5997312,buy,limit_order,filled,I,2021-05-26 13:29:25 UTC,2021-05-26 16:26:07 UTC
USDTINR,I-USDT_INR,10.0,10.0,77.6,0.0,0.0,buy,limit_order,cancelled,I,2021-05-26 12:46:04 UTC,2021-05-26 15:41:07 UTC
USDTINR,I-USDT_INR,10.0,10.0,77.52,0.0,0.0,buy,limit_order,cancelled,I,2021-05-26 12:37:53 UTC,2021-05-26 13:28:55 UTC
USDTINR,I-USDT_INR,5.12,0.0,78.09,78.09,0.3998208,buy,limit_order,filled,I,2021-05-26 13:07:46 UTC,2021-05-26 13:08:39 UTC
DOGEINR,I-DOGE_INR,60.0,60.0,31.66,0.0,0.0,sell,limit_order,cancelled,I,2021-05-24 12:32:01 UTC,2021-05-26 06:42:33 UTC
BATINR,I-BAT_INR,10.05,0.0,59.0,59.0,0.59295,buy,limit_order,filled,I,2021-05-22 11:00:50 UTC,2021-05-22 11:34:05 UTC
BATINR,I-BAT_INR,5.47,5.47,54.8,0.0,0.0,buy,limit_order,cancelled,I,2021-05-22 09:59:15 UTC,2021-05-22 11:00:12 UTC
BATINR,I-BAT_INR,5.28,5.28,55.4,0.0,0.0,buy,limit_order,cancelled,I,2021-05-22 09:58:54 UTC,2021-05-22 11:00:11 UTC
BATINR,I-BAT_INR,11.06,11.06,53.6,0.0,0.0,buy,limit_order,cancelled,I,2021-05-22 08:46:40 UTC,2021-05-22 09:58:23 UTC
DOGEINR,I-DOGE_INR,44.0,44.0,33.21,0.0,0.0,sell,limit_order,cancelled,I,2021-05-21 06:56:21 UTC,2021-05-21 14:40:20 UTC
ETHINR,I-ETH_INR,0.005,0.0,199650.0,199650.0,0.99825,buy,limit_order,filled,I,2021-05-21 14:39:13 UTC,2021-05-21 14:39:13 UTC
ETHINR,I-ETH_INR,0.0099,0.0,201900.0,201900.0,1.99881,buy,limit_order,filled,I,2021-05-21 14:29:40 UTC,2021-05-21 14:36:19 UTC
DOGEINR,I-DOGE_INR,65.0,0.0,29.5,29.5,1.9175,buy,limit_order,filled,I,2021-05-21 14:25:42 UTC,2021-05-21 14:27:26 UTC
DOGEINR,I-DOGE_INR,44.0,0.0,32.151,32.133,1.413852,buy,limit_order,filled,I,2021-05-21 06:49:01 UTC,2021-05-21 06:49:02 UTC
DOGEINR,I-DOGE_INR,44.0,44.0,32.11,0.0,0.0,buy,limit_order,cancelled,I,2021-05-21 06:46:49 UTC,2021-05-21 06:48:45 UTC
DOGEINR,I-DOGE_INR,44.0,0.0,32.11,32.11,1.41284,sell,limit_order,filled,I,2021-05-21 06:44:16 UTC,2021-05-21 06:45:45 UTC
DOGEINR,I-DOGE_INR,44.0,44.0,32.51,0.0,0.0,sell,limit_order,cancelled,I,2021-05-21 05:55:41 UTC,2021-05-21 06:43:49 UTC
DOGEINR,I-DOGE_INR,44.0,44.0,32.1,0.0,0.0,sell,limit_order,cancelled,I,2021-05-21 05:51:40 UTC,2021-05-21 05:55:24 UTC
DOGEINR,I-DOGE_INR,44.0,44.0,32.6,0.0,0.0,sell,limit_order,cancelled,I,2021-05-21 05:50:36 UTC,2021-05-21 05:50:59 UTC
DOGEINR,I-DOGE_INR,44.0,44.0,35.6,0.0,0.0,sell,limit_order,cancelled,I,2021-05-20 18:09:49 UTC,2021-05-21 05:49:38 UTC
DOGEINR,I-DOGE_INR,44.0,44.0,36.21,0.0,0.0,sell,limit_order,cancelled,I,2021-05-20 13:50:18 UTC,2021-05-20 18:09:20 UTC
DOGEINR,I-DOGE_INR,44.0,0.0,34.85,34.85,1.5334,buy,limit_order,filled,I,2021-05-20 13:26:00 UTC,2021-05-20 13:36:35 UTC
DOGEINR,I-DOGE_INR,19.0,19.0,32.85,0.0,0.0,buy,limit_order,cancelled,I,2021-05-20 12:45:49 UTC,2021-05-20 13:25:06 UTC
BATINR,I-BAT_INR,12.5,12.5,71.8,0.0,0.0,buy,limit_order,cancelled,I,2021-05-20 12:51:15 UTC,2021-05-20 13:25:05 UTC
DOGEINR,I-DOGE_INR,30.0,30.0,30.02,0.0,0.0,buy,limit_order,cancelled,I,2021-05-20 09:46:06 UTC,2021-05-20 12:50:16 UTC
DOGEINR,I-DOGE_INR,19.0,19.0,33.0,0.0,0.0,buy,limit_order,cancelled,I,2021-05-20 12:43:59 UTC,2021-05-20 12:45:23 UTC
DOGEINR,I-DOGE_INR,18.0,0.0,34.93,34.93,0.62874,sell,limit_order,filled,I,2021-05-20 12:42:13 UTC,2021-05-20 12:42:35 UTC
DOGEINR,I-DOGE_INR,18.0,18.0,35.0,0.0,0.0,sell,limit_order,cancelled,I,2021-05-20 11:01:42 UTC,2021-05-20 12:41:55 UTC
DOGEINR,I-DOGE_INR,18.0,0.0,33.3,33.3,0.5994,buy,limit_order,filled,I,2021-05-20 11:01:11 UTC,2021-05-20 11:01:18 UTC
BATINR,I-BAT_INR,9.0,9.0,67.5,0.0,0.0,buy,limit_order,cancelled,I,2021-05-20 10:47:31 UTC,2021-05-20 10:59:53 UTC
